flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,500000,387226,22.60,1
F2,0,0,0,499986,495808,0.80,0.50
F3,0,0,0,500000,478657,4.30,1
F4,0,0,0,499985,491297,1.70,0.60
F5,0,0,0,500000,497500,0.50,0.50
F6,0,0,0,499984,497720,0.50,0.50
F7,0,0,0,500000,496527,0.70,0.70
F8,0,0,0,499984,465880,6.80,1.10
F9,0,0,0,500000,474688,5.10,0.50
F10,0,0,0,499983,463696,7.30,1.10
F11,0,0,0,500000,460626,7.90,1
F12,0,0,0,499982,427587,14.50,1.30
F13,0,0,0,500000,497148,0.60,0.60
F14,0,0,0,499980,488880,2.20,0.60
F15,0,0,0,500000,461861,7.60,1.20
F16,0,0,0,499979,462769,7.40,1.30
