flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299360,0.20,0.20
F2,0,0,0,299986,299097,0.30,0.30
F3,0,0,0,300000,299183,0.30,0.30
F4,0,0,0,299986,299243,0.20,0.20
F5,0,0,0,300000,299333,0.20,0.20
F6,0,0,0,299985,299621,0.10,0.10
F7,0,0,0,300000,299659,0.10,0.10
F8,0,0,0,299985,299096,0.30,0.30
F9,0,0,0,300000,299072,0.30,0.30
F10,0,0,0,299985,298901,0.40,0.40
F11,0,0,0,300000,298666,0.40,0.40
F12,0,0,0,299985,299385,0.20,0.20
F13,0,0,0,300000,299272,0.20,0.20
F14,0,0,0,299984,299065,0.30,0.30
F15,0,0,0,300000,299720,0.10,0.10
F16,0,0,0,299984,295968,1.30,1.30
F17,0,0,0,300000,299396,0.20,0.20
F18,0,0,0,299983,296257,1.20,1.20
F19,0,0,0,300000,296292,1.20,1.20
F20,0,0,0,299983,296855,1,1
F21,0,0,0,300000,295700,1.40,1.40
