flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299040,0.30,0.30
F2,0,0,0,299986,299313,0.20,0.20
F3,0,0,0,300000,299238,0.30,0.30
F4,0,0,0,299986,299381,0.20,0.20
F5,0,0,0,300000,299277,0.20,0.20
F6,0,0,0,299985,299452,0.20,0.20
F7,0,0,0,300000,299517,0.20,0.20
F8,0,0,0,299985,299154,0.30,0.30
F9,0,0,0,300000,299652,0.10,0.10
F10,0,0,0,299985,299018,0.30,0.30
F11,0,0,0,300000,298785,0.40,0.40
F12,0,0,0,299985,299176,0.30,0.30
F13,0,0,0,300000,295727,1.40,1.40
F14,0,0,0,299984,299279,0.20,0.20
F15,0,0,0,300000,299317,0.20,0.20
F16,0,0,0,299984,294556,1.80,1.70
F17,0,0,0,300000,299396,0.20,0.20
F18,0,0,0,299983,295325,1.60,1.60
F19,0,0,0,300000,299089,0.30,0.30
F20,0,0,0,299983,295670,1.40,1.40
F21,0,0,0,300000,296666,1.10,1.10
