flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,300000,0,0
F2,0,0,0,299986,299555,0.10,0.10
F3,0,0,0,300000,300000,0,0
F4,0,0,0,299986,299628,0.10,0.10
F5,0,0,0,300000,299694,0.10,0.10
F6,0,0,0,299985,299368,0.20,0.20
F7,0,0,0,300000,299120,0.30,0.30
F8,0,0,0,299985,299297,0.20,0.20
F9,0,0,0,300000,299246,0.30,0.30
F10,0,0,0,299985,299369,0.20,0.20
F11,0,0,0,300000,299170,0.30,0.30
F12,0,0,0,299985,298726,0.40,0.40
F13,0,0,0,300000,298787,0.40,0.40
F14,0,0,0,299984,299126,0.30,0.30
F15,0,0,0,300000,299782,0.10,0.10
