flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,297173,0.90,0.90
F2,0,0,0,299986,296996,1,1
F3,0,0,0,300000,293224,2.30,1.70
F4,0,0,0,299986,298886,0.40,0.40
F5,0,0,0,300000,296166,1.30,1.30
F6,0,0,0,299985,298694,0.40,0.40
F7,0,0,0,300000,281957,6,2
F8,0,0,0,299985,289577,3.50,1.90
F9,0,0,0,300000,297971,0.70,0.70
F10,0,0,0,299985,296410,1.20,1.20
F11,0,0,0,300000,296622,1.10,1.10
F12,0,0,0,299985,296958,1,1
F13,0,0,0,300000,297696,0.80,0.80
F14,0,0,0,299984,298114,0.60,0.60
F15,0,0,0,300000,281488,6.20,1.80
F16,0,0,0,299984,295780,1.40,1.40
F17,0,0,0,300000,298031,0.70,0.70
F18,0,0,0,299983,293333,2.20,1.90
F19,0,0,0,300000,295739,1.40,1.40
F20,0,0,0,299983,296263,1.20,1.20
F21,0,0,0,300000,284533,5.20,2.10
F22,0,0,0,299983,289789,3.40,2.10
F23,0,0,0,300000,298393,0.50,0.50
F24,0,0,0,299982,288034,4,2.20
