flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299600,0.10,0.10
F2,0,0,0,299986,299340,0.20,0.20
F3,0,0,0,300000,299401,0.20,0.20
F4,0,0,0,299986,299738,0.10,0.10
F5,0,0,0,300000,299305,0.20,0.20
F6,0,0,0,299985,299171,0.30,0.30
F7,0,0,0,300000,299404,0.20,0.20
F8,0,0,0,299985,299440,0.20,0.20
F9,0,0,0,300000,299681,0.10,0.10
F10,0,0,0,299985,299604,0.10,0.10
F11,0,0,0,300000,298637,0.50,0.50
F12,0,0,0,299985,299385,0.20,0.20
F13,0,0,0,300000,299000,0.30,0.30
F14,0,0,0,299984,299862,0,0
F15,0,0,0,300000,299875,0,0
