flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299840,0.10,0.10
F2,0,0,0,299986,299367,0.20,0.20
F3,0,0,0,300000,299619,0.10,0.10
F4,0,0,0,299986,299601,0.10,0.10
F5,0,0,0,300000,299361,0.20,0.20
F6,0,0,0,299985,299621,0.10,0.10
F7,0,0,0,300000,299602,0.10,0.10
F8,0,0,0,299985,299612,0.10,0.10
F9,0,0,0,300000,299420,0.20,0.20
F10,0,0,0,299985,299223,0.30,0.30
F11,0,0,0,300000,298903,0.40,0.40
F12,0,0,0,299985,299445,0.20,0.20
F13,0,0,0,300000,298303,0.60,0.60
F14,0,0,0,299984,299524,0.20,0.20
F15,0,0,0,300000,298325,0.60,0.60
F16,0,0,0,299984,299513,0.20,0.20
F17,0,0,0,300000,299682,0.10,0.10
F18,0,0,0,299983,298634,0.40,0.40
F19,0,0,0,300000,298178,0.60,0.60
F20,0,0,0,299983,298534,0.50,0.50
