flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,500000,499573,0.10,0.10
F2,0,0,0,499986,499249,0.10,0.10
F3,0,0,0,500000,499496,0.10,0.10
F4,0,0,0,499985,499498,0.10,0.10
F5,0,0,0,500000,499352,0.10,0.10
F6,0,0,0,499984,499441,0.10,0.10
F7,0,0,0,500000,499007,0.20,0.20
F8,0,0,0,499984,499314,0.10,0.10
F9,0,0,0,500000,499180,0.20,0.20
F10,0,0,0,499983,499206,0.20,0.20
F11,0,0,0,500000,499165,0.20,0.20
F12,0,0,0,499982,498905,0.20,0.20
