timestamp,as113brd-br_112_113_1-10.113.0.254:1,as113brd-br_112_113_2-10.113.0.253:2,as113brd-br_113_114_1-10.113.0.252:3,as113brd-br_113_114_2-10.113.0.251:4,as113brd-br_113_114_3-10.113.0.250:5
2025-10-15 11:23:43.720000+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-15 11:23:44.867000+00:00,0.0,0.12800697471665215,0.0,0.0,0.0
2025-10-15 11:23:46.021000+00:00,0.0,2.2303431542461007,0.0,0.031216637781629118,0.0
2025-10-15 11:23:47.196000+00:00,0.15049531914893616,2.463502978723404,0.20042893617021276,0.17305191489361701,0.2149787234042553
2025-10-15 11:23:48.397000+00:00,0.0,2.1832006661115737,0.0,0.0,0.0
2025-10-15 11:23:49.533000+00:00,0.03170422535211268,2.2795352112676057,0.0,0.0,0.0
2025-10-15 11:23:50.683000+00:00,0.0,2.2771339130434787,0.0,0.0,0.0
2025-10-15 11:23:51.842000+00:00,0.0,2.2208800690250214,0.027913718723037103,0.13597238999137187,0.028873166522864535
2025-10-15 11:23:53.061000+00:00,0.1566464315012305,2.3805283018867924,0.15241345365053321,0.054398687448728465,0.153253486464315
2025-10-15 11:23:54.197000+00:00,0.030190140845070424,2.2719647887323946,0.0,0.0,0.0
2025-10-15 11:23:55.321000+00:00,0.0,2.242718861209964,0.0,0.0,0.0
2025-10-15 11:23:56.481000+00:00,0.0,2.2434482758620695,0.0,0.028827586206896554,0.0
2025-10-15 11:23:57.622000+00:00,0.16039964943032425,2.2328273444347064,0.1515863277826468,0.17351095530236635,0.1299421560035057
2025-10-15 11:23:58.884000+00:00,1.0147828843106181,2.3183581616481774,0.049774960380348655,0.0,0.06637083993660856
2025-10-15 11:24:00.033000+00:00,2.271993037423847,0.03135248041775457,0.0,0.0,0.0
2025-10-15 11:24:01.167000+00:00,2.270271604938272,0.0,0.0,0.0,0.0
2025-10-15 11:24:02.314000+00:00,2.291326939843069,0.0,0.0,0.15176285963382738,0.0
2025-10-15 11:24:03.513000+00:00,2.408767306088407,0.10739616346955795,0.19151959966638865,0.051703085904920766,0.14219182652210174
2025-10-15 11:24:04.684000+00:00,2.189670367207515,0.08310845431255337,0.0,0.0,0.05415542271562767
2025-10-15 11:24:05.799000+00:00,2.0585255605381167,0.0,0.0,0.0,0.0
2025-10-15 11:24:06.950000+00:00,1.8079443961772372,0.0,0.0,0.12355169417897481,0.0
2025-10-15 11:24:08.126000+00:00,2.0058639455782314,0.0,0.14438775510204083,0.07697959183673471,0.14691156462585037
2025-10-15 11:24:09.297000+00:00,1.8825140905209223,0.16597096498719044,0.06932194705380017,0.0,0.07028522630230571
2025-10-15 11:24:10.388000+00:00,1.9362639780018331,0.02965352887259395,0.0,0.0,0.0
2025-10-15 11:24:11.478000+00:00,1.9747376146788989,0.0,0.0,0.0,0.0
2025-10-15 11:24:12.623000+00:00,1.7314655021834062,0.0,0.0,0.1494986899563319,0.0
2025-10-15 11:24:13.782000+00:00,2.1834685073339086,0.0,0.14698878343399482,0.04981535806729939,0.14851423641069889
2025-10-15 11:24:14.988000+00:00,1.7477147595356552,0.163787728026534,0.05460033167495854,0.0,0.04991044776119403
2025-10-15 11:24:16.093000+00:00,1.9155547511312216,0.033375565610859734,0.0,0.0,0.0
2025-10-15 11:24:17.221000+00:00,1.8844255319148937,0.0,0.0,0.0,0.0
2025-10-15 11:24:18.337000+00:00,1.9046881720430107,0.0,0.0,0.15109677419354836,0.0
2025-10-15 11:24:19.552000+00:00,1.9697251028806584,0.10374979423868312,0.19611522633744854,0.05154238683127572,0.1568
2025-10-15 11:24:20.681000+00:00,1.8876386182462357,0.05582993799822852,0.0,0.0,0.03437378210806023
2025-10-15 11:24:21.795000+00:00,1.8510233393177737,0.03001795332136445,0.0,0.0,0.0
2025-10-15 11:24:22.921000+00:00,1.9036589698046182,0.0,0.0,0.0,0.0
2025-10-15 11:24:24.033000+00:00,1.9916906474820142,0.0,0.13437410071942446,0.2104892086330935,0.1260071942446043
2025-10-15 11:24:25.289000+00:00,1.86,0.15236305732484076,0.07273248407643311,0.0,0.0814140127388535
2025-10-15 11:24:26.407000+00:00,1.8893381037567083,0.02991055456171735,0.0,0.0,0.0
2025-10-15 11:24:27.504000+00:00,1.929524156791249,0.0,0.0,0.0,0.0
2025-10-15 11:24:28.649000+00:00,1.8173903930131003,0.0,0.0,0.0,0.0
2025-10-15 11:24:29.777000+00:00,2.2932624113475177,0.0,0.15027659574468089,0.22407801418439718,0.1549078014184397
2025-10-15 11:24:31.053000+00:00,1.0605830721003133,0.1517742946708464,0.05098432601880877,0.0,0.05174921630094044
2025-10-15 11:24:32.116000+00:00,0.0,0.03312135465663218,0.0,0.0,0.0
2025-10-15 11:24:33.297000+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-15 11:24:34.351000+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-15 11:24:35.509000+00:00,0.15992400690846287,0.15458376511226254,0.20348877374784113,0.20480138169257342,0.20632124352331607
2025-10-15 11:24:36.575000+00:00,0.03114446529080675,0.03216510318949343,0.0,0.0,0.0
2025-10-15 11:24:37.635000+00:00,0.0,0.0,0.0,0.0,0.0
