flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,289520,3.50,1.70
F2,0,0,0,299986,296592,1.10,1.10
F3,0,0,0,300000,299374,0.20,0.20
F4,0,0,0,299986,291738,2.70,1.70
F5,0,0,0,300000,299111,0.30,0.30
F6,0,0,0,299985,295887,1.40,1.10
F7,0,0,0,300000,298950,0.30,0.30
F8,0,0,0,299985,298810,0.40,0.40
F9,0,0,0,300000,297478,0.80,0.80
F10,0,0,0,299985,299047,0.30,0.30
F11,0,0,0,300000,298429,0.50,0.50
F12,0,0,0,299985,294022,2,1.40
F13,0,0,0,300000,296515,1.20,1.20
F14,0,0,0,299984,298911,0.40,0.40
F15,0,0,0,300000,292496,2.50,1.10
F16,0,0,0,299984,298447,0.50,0.50
F17,0,0,0,300000,279015,7,2.10
F18,0,0,0,299983,298891,0.40,0.40
F19,0,0,0,300000,298178,0.60,0.60
F20,0,0,0,299983,294551,1.80,1.80
F21,0,0,0,300000,267600,10.80,2.40
F22,0,0,0,299983,289789,3.40,2.10
F23,0,0,0,300000,285367,4.90,2.10
F24,0,0,0,299982,298839,0.40,0.40
