flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299413,0.20,0.20
F2,0,0,0,299986,299420,0.20,0.20
F3,0,0,0,300000,299673,0.10,0.10
F4,0,0,0,299986,299381,0.20,0.20
F5,0,0,0,300000,299333,0.20,0.20
F6,0,0,0,299985,299256,0.20,0.20
F7,0,0,0,300000,299460,0.20,0.20
F8,0,0,0,299985,299584,0.10,0.10
F9,0,0,0,300000,299681,0.10,0.10
F10,0,0,0,299985,297699,0.80,0.50
F11,0,0,0,300000,298962,0.30,0.30
F12,0,0,0,299985,299056,0.30,0.30
F13,0,0,0,300000,299515,0.20,0.20
F14,0,0,0,299984,299616,0.10,0.10
F15,0,0,0,300000,299658,0.10,0.10
F16,0,0,0,299984,299733,0.10,0.10
F17,0,0,0,300000,299746,0.10,0.10
F18,0,0,0,299983,299469,0.20,0.20
F19,0,0,0,300000,299739,0.10,0.10
F20,0,0,0,299983,299917,0,0
